This Bulk Download report is of varun kkkkk (varun.k@axat-tech.com) from _______Dataroom Vizcom
Index,Name,Size(in MB),Date Time,Path,Download Status
1.1.1.0.9,3 Microsoft Excel Worksheet-Demo.csv,0.001,11-09-2024 19:39:34,Vizcom/clienttest1/Sample files/26/3 Microsoft Excel Worksheet-Demo.csv,Success
1.0.2,17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,3.627,11-09-2024 19:39:35,Vizcom/clienttest1/17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,Success
1.0.3,17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,0.032,11-09-2024 19:39:38,Vizcom/clienttest1/17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,Success
1.0.4,17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,0.53,11-09-2024 19:39:39,Vizcom/clienttest1/17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,Success
1.0.5,2.0.3pdf-test.pdf,0.02,11-09-2024 19:39:39,Vizcom/clienttest1/2.0.3pdf-test.pdf,Success
1.0.26,cloud-storage.png,0.024,11-09-2024 19:39:41,Vizcom/clienttest1/cloud-storage.png,Success
1.0.27,logo.png,0.015,11-09-2024 19:39:41,Vizcom/clienttest1/logo.png,Success
1.0.28,new_logo_favicon.png,0.004,11-09-2024 19:39:42,Vizcom/clienttest1/new_logo_favicon.png,Success
2.2.0.2,17.3.0.25 istockphoto-1419410282-1024x1024.jpg,0.175,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.25 istockphoto-1419410282-1024x1024.jpg,Success
2.2.0.3,17.3.0.24 istockphoto-1072462590-1024x1024.jpg,0.111,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.24 istockphoto-1072462590-1024x1024.jpg,Success
2.2.0.4,17.3.0.23 graphics-603272_640.jpg,0.137,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.23 graphics-603272_640.jpg,Success
2.2.0.5,17.3.0.22 graffiti-3274744_640.jpg,0.133,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.22 graffiti-3274744_640.jpg,Success
2.2.0.6,17.3.0.21 graffiti-623003_640.jpg,0.168,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.21 graffiti-623003_640.jpg,Success
2.2.0.7,17.3.0.20 graffiti-508272_1280.jpg,0.469,11-09-2024 19:39:42,Vizcom/Sample folder/bbb/17.3.0.20 graffiti-508272_1280.jpg,Success
2.2.0.8,17.3.0.19 flowers-276014_1280.jpg,0.353,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.19 flowers-276014_1280.jpg,Success
2.2.0.9,17.3.0.18 graffiti-508272_1280 (1).jpg,0.469,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.18 graffiti-508272_1280 (1).jpg,Success
2.2.0.10,17.3.0.17 coca-cola-736967_640.jpg,0.179,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.17 coca-cola-736967_640.jpg,Success
2.2.0.11,17.3.0.16 yoga.png,0.012,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.16 yoga.png,Success
2.2.0.12,17.3.0.15 oncology.png,0.014,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.15 oncology.png,Success
2.2.0.13,17.3.0.14 Gynecology.png,0.012,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.14 Gynecology.png,Success
2.2.0.14,17.3.0.13 Alternative Therapies.png,0.02,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.13 Alternative Therapies.png,Success
2.2.0.15,17.3.0.12 wellness.png,0.02,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.12 wellness.png,Success
2.2.0.16,17.3.0.10 knee-replacement.png,0.019,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.10 knee-replacement.png,Success
2.2.0.17,17.3.0.9 hip-replacement.png,0.022,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.9 hip-replacement.png,Success
2.2.0.18,17.3.0.8 herbal-treatment.png,0.014,11-09-2024 19:39:43,Vizcom/Sample folder/bbb/17.3.0.8 herbal-treatment.png,Success
2.2.0.19,17.3.0.7 Cardiovascular.png,0.032,11-09-2024 19:39:44,Vizcom/Sample folder/bbb/17.3.0.7 Cardiovascular.png,Success
2.2.0.20,17.3.0.11 Organ Transplant.png,0.017,11-09-2024 19:39:44,Vizcom/Sample folder/bbb/17.3.0.11 Organ Transplant.png,Success
2.2.0.21,17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,3.627,11-09-2024 19:39:44,Vizcom/Sample folder/bbb/17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,Success
2.2.0.22,17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,0.032,11-09-2024 19:39:47,Vizcom/Sample folder/bbb/17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,Success
2.2.0.23,17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,0.53,11-09-2024 19:39:47,Vizcom/Sample folder/bbb/17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,Success
2.0.4,49.0.20Sample pdf file.pdf,0.084,11-09-2024 19:39:48,Vizcom/Sample folder/49.0.20Sample pdf file.pdf,Success
2.0.5,49.0.21Sample ppt file.pptx,0.059,11-09-2024 19:39:48,Vizcom/Sample folder/49.0.21Sample ppt file.pptx,Success
2.0.6,Sample word file.docx,0.013,11-09-2024 19:39:49,Vizcom/Sample folder/Sample word file.docx,Success
3.0.1,Binary Testing.xlsb,0.065,11-09-2024 19:39:49,Vizcom/5-12 Excel and pdf/Binary Testing.xlsb,Success
3.1.0.1,1 test file.pdf,0.419,11-09-2024 19:39:52,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/1 test file.pdf,Success
3.1.0.2,1.0.1_bh__(2) (1).pptx,0.25,11-09-2024 19:39:52,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/1.0.1_bh__(2) (1).pptx,Success
3.1.0.3,18.0.1 Std. VII English Gramm.Punctuations ws answer key.pdf,0.021,11-09-2024 19:39:52,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/18.0.1 Std. VII English Gramm.Punctuations ws answer key.pdf,Success
3.1.0.4,18.0.2 Std. VII English L-3.3 ws answer key.pdf,0.034,11-09-2024 19:39:53,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/18.0.2 Std. VII English L-3.3 ws answer key.pdf,Success
3.1.0.5,19.0.1 Std. VII Geography Ch.11 ws answer key.pdf,0.302,11-09-2024 19:39:55,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/19.0.1 Std. VII Geography Ch.11 ws answer key.pdf,Success
3.1.0.6,19.0.2 Std. VII Geography Ch.4 ws answer key.pdf,0.033,11-09-2024 19:39:55,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/19.0.2 Std. VII Geography Ch.4 ws answer key.pdf,Success
3.1.0.7,Docully Documentation .xlsx,0.496,11-09-2024 19:39:55,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/Docully Documentation .xlsx,Success
3.1.0.8,results.xlsx,0.007,11-09-2024 19:39:55,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/results.xlsx,Success
3.1.0.9,Untitled 1.pdf,0.004,11-09-2024 19:39:56,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/Untitled 1.pdf,Success
3.0.2,CSV Testing.csv,6.726,11-09-2024 19:39:56,Vizcom/5-12 Excel and pdf/CSV Testing.csv,Success
3.0.3,CSV Testing.pdf,36.784,11-09-2024 19:44:22,Vizcom/5-12 Excel and pdf/CSV Testing.pdf,Success
3.0.4,Gujrati language pdf.pdf,0.104,11-09-2024 19:44:23,Vizcom/5-12 Excel and pdf/Gujrati language pdf.pdf,Success
3.0.5,Marathi language pdf.pdf,0.051,11-09-2024 19:44:23,Vizcom/5-12 Excel and pdf/Marathi language pdf.pdf,Success
3.0.6,Testing XLT.xlt,0.859,11-09-2024 19:44:23,Vizcom/5-12 Excel and pdf/Testing XLT.xlt,Success
3.0.7,Urdu language pdf.pdf,0.407,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/Urdu language pdf.pdf,Success
3.0.8,XLS Testing - multiple sheets.xls,32.884,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/XLS Testing - multiple sheets.xls,Success
3.0.9,dashboard.png,0.007,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/dashboard.png,Success
3.0.10,notification.png,0.014,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/notification.png,Success
3.0.11,ppo.png,0.029,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/ppo.png,Success
3.0.12,user.png,0.016,11-09-2024 19:44:24,Vizcom/5-12 Excel and pdf/user.png,Success
3.0.13,hindi language pdf file.pdf,0.058,11-09-2024 19:44:25,Vizcom/5-12 Excel and pdf/hindi language pdf file.pdf,Success
4.1.0.1,Vizcom - Overview Report - 2023-10-01 -to- 2023-10-31.csv,0.003,11-09-2024 19:44:25,Vizcom/vizcomoverview-report1702450330/vizcomoverview-report1702450330/Vizcom - Overview Report - 2023-10-01 -to- 2023-10-31.csv,Success
4.1.0.2,Vizcom - Overview Report - 2023-11-01 -to- 2023-11-30.csv,0.012,11-09-2024 19:44:25,Vizcom/vizcomoverview-report1702450330/vizcomoverview-report1702450330/Vizcom - Overview Report - 2023-11-01 -to- 2023-11-30.csv,Success
4.1.0.3,Vizcom - Overview Report - 2023-12-01 -to- 2023-12-13.csv,0.01,11-09-2024 19:44:25,Vizcom/vizcomoverview-report1702450330/vizcomoverview-report1702450330/Vizcom - Overview Report - 2023-12-01 -to- 2023-12-13.csv,Success
4.1.0.4,Vizcom - Overview Report - 2023-09-01 -to- 2023-09-30.csv,0.002,11-09-2024 19:44:25,Vizcom/vizcomoverview-report1702450330/vizcomoverview-report1702450330/Vizcom - Overview Report - 2023-09-01 -to- 2023-09-30.csv,Success
5.0.1,IDFCFIRSTBankstatement_10177719712.pdf,0.112,11-09-2024 19:44:26,Vizcom/Excel with diagram/IDFCFIRSTBankstatement_10177719712.pdf,Success
5.0.2,logo-no-background.png,0.031,11-09-2024 19:44:26,Vizcom/Excel with diagram/logo-no-background.png,Success
5.0.3,logo-no-background.png,0.056,11-09-2024 19:44:26,Vizcom/Excel with diagram/logo-no-background.png,Success
5.0.4,1 Microsoft PowerPoint Presentation-Demo.pptx,0.075,11-09-2024 19:44:26,Vizcom/Excel with diagram/1 Microsoft PowerPoint Presentation-Demo.pptx,Success
8.1.0.2,logo.png,0.0,11-09-2024 19:44:27,Vizcom/12 bulkuploadone/12.1 New folder T/logo.png,Success
8.1.0.3,new_logo_favicon.png,0.0,11-09-2024 19:44:27,Vizcom/12 bulkuploadone/12.1 New folder T/new_logo_favicon.png,Success
8.1.0.4,email-folder.png,,11-09-2024 19:44:27,Vizcom/12 bulkuploadone/12.1 New folder T/email-folder.png,Success
